name,description,url,logo_url,categories,domains,cost_index,bench_score,embedding_text
AnyConv,"300+ 포맷 간 변환을 지원하는 무료 온라인 파일 변환 플랫폼","https://anyconv.com","https://www.google.com/s2/favicons?domain=anyconv.com&sz=128","파일 변환, 업무 효율","문서·이미지·오디오·비디오 포맷 변환",1,88,"AnyConv는 300여 가지 이상의 포맷을 상호 변환해 주는 브라우저 기반 파일 컨버터다. 사용자는 파일을 업로드하고 목표 형식을 선택하기만 하면 되고, 변환 파이프라인과 코덱·라이브러리 세부 설정은 서비스가 ‘블랙박스’로 처리한다. 내부 알고리즘이 클라우드에서 병렬로 작동해 대용량 파일도 빠르게 변환하며 1시간 후 자동 삭제로 보안 리스크를 최소화한다. 오피스 문서부터 3D 모델까지 광범위하게 지원해, 별도 전문 소프트웨어 설치나 포맷 호환 문제로 인한 수작업을 크게 단축시킨다. 프리미엄 없이 기본 기능이 충분해 현장·학교·재택 환경 등 폭넓게 쓰인다."
FreeConvert,"1500+ 유형을 지원하는 대용량 온라인 파일 변환·압축 서비스","https://www.freeconvert.com","https://www.google.com/s2/favicons?domain=freeconvert.com&sz=128","파일 변환, 압축","영상/이미지/문서 일괄 변환, 파일 압축",1,87,"FreeConvert는 멀티미디어·문서·전자책·아카이브 등 1500여 형식을 상호 변환하고, 고급 옵션으로 해상도·코덱·품질을 세밀하게 조정할 수 있는 웹 기반 유틸리티다. Dropbox·Drive 연동과 256-bit SSL 전송, 변환 후 자동 삭제 정책으로 보안도 확보한다. 대용량 배치 변환에 특화되어 팀 단위 콘텐츠 제작·출판 워크플로우의 반복 작업을 대폭 자동화하며, 별도 앱 설치 없이 브라우저만으로 실행 가능해 BYOD 환경에 적합하다."
iLovePDF,"PDF 병합·분할·압축·변환 등 20+ PDF 업무를 통합 제공하는 웹 서비스","https://www.ilovepdf.com","https://www.google.com/s2/favicons?domain=ilovepdf.com&sz=128","PDF 편집, 문서 자동화","보고서 병합, 용량 최적화, 오피스↔PDF 변환",1,90,"iLovePDF는 PDF 기반 문서 작업의 모든 반복 절차—병합, 분할, 압축, 회전, 워터마크, Office 상호 변환—를 원클릭으로 처리하는 클라우드 플랫폼이다. 사용자는 파일을 드래그·드롭하면 실시간으로 처리 결과를 내려받을 수 있어 Acrobat 설치·라이선스 없이도 전문 편집 결과를 얻는다. 모바일·API·데스크톱 앱까지 제공해 다양한 워크플로우에 통합이 쉽고, 팀 협업·전자서명 기능으로 법무·세무·인사 부서 업무를 가속화한다."
Photopea,"포토샵 수준의 레이어 편집을 브라우저에서 제공하는 무료 온라인 이미지 에디터","https://www.photopea.com","https://www.google.com/s2/favicons?domain=photopea.com&sz=128","이미지 편집, 디자인","PSD·AI 등 소스 수정, 배너 제작",1,93,"Photopea는 HTML5로 구현된 고급 이미지 편집기로서, PSD·AI·XD 등 전문 포맷을 그대로 열고 레이어·마스크·필터 작업을 로컬 CPU/GPU로 수행한다. 서버 업로드가 없으므로 기업 내 기밀 디자인도 안전하게 처리 가능하며, 크로스플랫폼 브라우저 환경만 있으면 포토샵 설치 없이 즉시 편집·내보내기가 가능하다. 라이선스 비용과 하드웨어 제약 없이 마케팅·교육·개발 문서용 그래픽을 빠르게 제작할 때 이상적이다."
PDF24 Tools,"90+개의 PDF 온라인 툴을 묶은 무료 통합 패키지","https://tools.pdf24.org","https://www.google.com/s2/favicons?domain=tools.pdf24.org&sz=128","PDF 편집, 파일 관리","PDF 합치기·압축·OCR·서명",0,86,"PDF24 Tools는 독립 서버 또는 오프라인 데스크톱으로 PDF 생성·편집·변환·OCR·보안 등 90여 개 기능을 제공한다. 파일은 암호화 전송 후 단시간 내 삭제되며, 설치 없이 바로 쓸 수 있어 IT 관리 비용을 절감한다. 대량 스캔 PDF를 OCR 후 분할·압축하는 등 문서 디지털화 파이프라인을 완전 자동화해 행정·교육기관에서 널리 활용된다."
Convertio,"300여 포맷, 25600개 조합을 지원하는 클라우드 파일 컨버터","https://convertio.co","https://www.google.com/s2/favicons?domain=convertio.co&sz=128","파일 변환, 클라우드 생산성","비디오/오디오/문서/이미지 변환",1,89,"Convertio는 브라우저에서 작동하는 범용 파일 변환 인프라로, 사용자는 파일을 끌어다 두고 원하는 포맷만 지정하면 된다. 변환은 전부 클라우드에서 실행되어 로컬 리소스 소비가 없고, 변환 후 24시간 내 자동 삭제되어 규정 준수를 돕는다. 영상 코덱·비율·자막 등 고급 설정도 지원해 크리에이터·개발팀의 반복 컨버전을 표준화한다."
TinyPNG,"웹용 이미지 용량을 최대 80% 줄여주는 스마트 압축 도구","https://tinypng.com","https://www.google.com/s2/favicons?domain=tinypng.com&sz=128","이미지 최적화, 웹 퍼포먼스","PNG·WebP·JPEG 용량 절감",1,92,"TinyPNG는 perceptual 압축 알고리즘으로 시각 품질을 유지하면서 PNG·WebP·JPEG 파일 크기를 크게 줄여 웹사이트 로딩 시간을 단축한다. 드래그·드롭 웹 인터페이스와 WordPress·API·CDN까지 제공해 개발·마케팅 팀이 빌드 파이프라인에 손쉽게 통합할 수 있다. SEO·LCP 최적화가 필요한 전자상거래·콘텐츠 사이트에 필수적이다."
QRStuff,"비만료 정적·동적 QR코드를 즉시 생성·관리하는 온라인 툴","https://www.qrstuff.com","https://www.google.com/s2/favicons?domain=qrstuff.com&sz=128","QR코드 생성, 마케팅 자동화","메뉴·리뷰·WiFi·vCard QR 배포",1,84,"QRStuff는 URL·vCard·PDF·WiFi 등 23종 데이터 타입의 정적·동적 QR코드를 무료로 생성하며, 유료 플랜에서 스캔 분석·캠페인 관리 기능을 제공한다. 사용자는 색상·로고·프레임을 커스터마이즈하여 브랜드 일관성을 유지할 수 있고, 인쇄·디지털 자산 모두에 즉시 적용해 오프라인↔온라인 전환률을 높인다."
Rebrandly,"브랜드 도메인 기반 짧은 링크·QR 관리 플랫폼","https://rebrandly.com","https://www.google.com/s2/favicons?domain=rebrandly.com&sz=128","URL 단축, 링크 관리","마케팅 캠페인 링크 트래킹",2,91,"Rebrandly는 자체 도메인을 활용해 짧은 링크를 생성하고, UTM·클릭 분석·A/B 라우팅·QR코드를 통합 관리한다. SaaS·이커머스 팀은 캠페인 단위 트래픽·전환 데이터를 수집하면서도 브랜드 일관성을 유지해 신뢰도를 높일 수 있다. API·웹훅·Zapier 연계로 대량 자동 생성이 가능해 워크플로우 전체를 자동화한다."
GTmetrix,"웹페이지 속도·Core Web Vitals를 종합 분석·모니터링하는 테스트 툴","https://gtmetrix.com","https://www.google.com/s2/favicons?domain=gtmetrix.com&sz=128","웹 성능 분석, DevOps","사이트 속도 개선, 모니터링 알림",1,88,"GTmetrix는 Chrome-Lighthouse 기반으로 LCP·TBT·CLS 등 핵심 지표를 측정하고, 전 세계 22개 위치·40여 기기 시뮬레이션으로 페이지 로드 병목을 시각화한다. 개발자는 워터폴·필름스트립·CrUX 데이터를 통해 원인을 파악하고 알림·히스토리 기능으로 배포 전후 성능 변화를 추적해 지속적 개선을 자동화할 수 있다."
CalculatorSoup,"200+ 무료 웹 계산기를 제공하는 종합 계산 플랫폼","https://www.calculatorsoup.com","https://www.google.com/s2/favicons?domain=calculatorsoup.com&sz=128","계산 자동화, 학습 지원","금융·수학·공학 실무 계산",0,82,"CalculatorSoup는 대출 상환·통계·기하·시간 계산 등 200여 개 전문 계산기를 웹에서 무료 제공한다. 사용자는 복잡한 수식·엑셀 모델링 없이 필요한 값을 즉시 산출하고 단계별 풀이를 확인할 수 있어 학습·업무 정확도를 높인다. 금융기관·교육 사이트에 위젯으로 임베드해 고객 셀프서비스를 자동화하기에도 적합하다."
UnitConverters,"77개 카테고리의 단위 변환을 지원하는 온라인 컨버터 허브","https://www.unitconverters.net","https://www.google.com/s2/favicons?domain=unitconverters.net&sz=128","단위 변환, 엔지니어링 지원","길이·질량·압력·데이터 변환",0,80,"UnitConverters.net은 길이·온도·에너지 등 77개 범주의 국제·미국·영국 단위를 상호 변환하며, 각 단위 역사·공식도 함께 제공한다. 과학·물류·제조 현장에서 반복되는 수동 계산을 없애고 정확도를 보장해 엔지니어·학생·무역 실무자의 생산성을 높인다."
Color-Hex,"HEX·RGB·HSL 코드 조회 및 색상 팔레트 추천 도구","https://www.color-hex.com","https://www.google.com/s2/favicons?domain=color-hex.com&sz=128","색상 선택, 디자인 지원","웹 색상 코드 검색, 팔레트 생성",0,78,"Color-Hex는 16,777,216가지 HEX 코드를 입력하거나 클릭해 색상 정보를 즉시 출력하고, triadic·analogous 등 하모니 팔레트를 자동 추천한다. 디자이너·프론트엔드 개발자는 CSS 코드까지 바로 복사해 시안을 빠르게 완성할 수 있어 포토샵 없이도 색상 작업 시간을 절감한다."
TinyURL,"익명·즉시 사용 가능한 무료 URL 단축기","https://tinyurl.com","https://www.google.com/s2/favicons?domain=tinyurl.com&sz=128","URL 단축, 링크 공유","소셜·채팅 링크 단축",0,83,"TinyURL은 가입·로그인 없이 긴 URL을 몇 초 안에 짧은 링크로 변환해주는 고전적인 웹 유틸리티다. QR 코드와 커스텀 앨리어스 기능을 제공하며, 광고나 만료 제한이 없어 내부 메신저·문서에서 빠르게 링크를 공유할 때 필수 도구로 자리 잡았다."
OnlineConversion,"1만+ 단위·지수·날짜 변환을 지원하는 범용 컨버전 포털","https://www.onlineconversion.com","https://www.google.com/s2/favicons?domain=onlineconversion.com&sz=128","단위 변환, 데이터 참조","과학·요리·공학 값 변환",0,77,"OnlineConversion.com은 1997년부터 운영된 방대한 전환 라이브러리로, 과학 상수부터 요리 용량까지 거의 모든 실생활 단위를 변환한다. 검색 기반 인터페이스로 즉시 결과를 보여줘 참고서 검색·수식 계산 시간을 없애며, 신뢰할 수 있는 표준 수치를 제공해 보고서·설계 오류를 줄여준다."
